time,open,high,low,close,Volume,Volume MA
1383735600,24.65,24.95,24.61,24.89,7,442.5
1383822000,24.85,24.91,24.56,24.7,22,396.9
1383908400,24.55,25.1,24.55,24.97,67,369.55
1384167600,25.14,25.85,25.1,25.61,87,343.9
1384254000,25.7,26.14,25.7,25.81,57,268.5
1384340400,25.86,26.59,25.86,26.44,31,219
1384426800,26.57,26.74,26.14,26.2,79,163.4
1384772400,26.06,26.06,25.6,25.62,38,112.05
1384858800,25.5,25.76,25.42,25.63,2,108.95
1385031600,25.65,26.25,25.65,26.09,1,106.3
1385118000,26.1,26.45,25.87,26.36,43,39.45
1385377200,26.38,26.44,26.1,26.4,16,39.25
1385463600,26.5,26.5,25.96,26.14,5,39.3
1385550000,26.14,26.45,26.01,26.34,5,39.4
1385636400,26.34,26.55,26.32,26.47,1,36.65
1385722800,26.47,26.7,26.32,26.5,2,36.55
1385982000,26.5,26.69,26.25,26.29,19,36.75
1386068400,26.3,26.39,26.11,26.36,7,31.7
1386154800,26.36,26.68,26.32,26.57,563,59.45
1386241200,26.65,26.77,26.4,26.49,8,53
1386327600,26.5,26.62,26.3,26.35,13,53.3
1386586800,26.34,26.54,26.3,26.4,40,54.2
1386673200,26.47,26.69,26.2,26.25,44,53.05
1386759600,26.22,26.44,26.15,26.21,46,51
1386846000,26.21,26.22,25.82,25.86,7,48.5
1386932400,25.86,25.93,25.6,25.8,12,47.55
1387191600,25.8,25.98,25.7,25.91,1,43.65
1387278000,25.9,26.1,25.86,26.04,14,42.45
1387364400,26.04,26.43,26.04,26.31,1130,98.85
1387450800,26.31,26.85,26.27,26.8,756,136.6
1387537200,26.71,27.09,26.71,27.02,802,174.55
1387796400,26.96,27.23,26.9,27.08,11,174.3
1388055600,27.05,27.2,26.94,27,1,174.1
1388142000,26.99,27.1,26.76,27.05,4,174.05
1388401200,27.05,27.2,26.9,27.18,1,174.05
1388660400,27.15,27.35,26.98,27.28,42,176.05
1388746800,27.3,27.85,27.26,27.8,150,182.6
1389006000,27.83,28.46,27.8,28.24,43,184.4
1389092400,28.25,28.28,27.58,27.68,140,163.25
1389178800,27.66,27.81,27.28,27.39,186,172.15
1389265200,27.35,27.4,26.7,26.73,87,175.85
1389351600,26.73,27,26.53,26.77,2027,275.2
1389610800,27,27.2,26.85,27.04,1837,364.85
1389697200,27.14,27.18,26.85,26.9,1715,448.3
1389783600,26.9,26.99,26.7,26.95,746,485.25
1389870000,26.96,27.14,26.9,26.98,438,506.55
1389956400,27.04,27.08,26.75,26.8,421,527.55
1390215600,26.75,26.75,26.48,26.55,713,562.5
1390302000,26.57,26.6,26.11,26.15,900,551
1390388400,26.15,26.25,25.94,26,739,550.15
1390474800,25.94,26.22,25.85,26.15,534,536.75
1390561200,26.16,26.37,26.1,26.19,441,558.25
1390820400,26.14,26.15,25.81,25.88,500,583.2
1390906800,25.88,26.15,25.85,26.02,246,595.3
1390993200,26.02,26.6,26,26.49,1488,669.65
1391079600,26.62,26.88,26.3,26.82,1763,755.7
1391166000,26.76,27.3,26.76,27.3,836,790
1391425200,27.28,28.3,27.15,28.24,917,833.7
1391511600,28.28,28.87,28.1,28.78,1314,892.4
1391598000,28.9,29.45,28.77,29.36,2243,995.25
1391684400,29.36,29.71,29.09,29.13,1267,1054.25
1391770800,29.02,29.25,27.91,28.72,2278,1066.8
1392030000,28.66,29.3,28.56,29.2,1414,1045.65
1392116400,29.2,29.2,28.75,29.14,1244,1022.1
1392202800,29.1,29.35,28.8,28.9,2047,1087.15
1392289200,28.93,29.5,28.93,29.42,1165,1123.5
1392375600,29.4,29.5,29.06,29.38,1532,1179.05
1392638400,29.3,30.49,29.3,30.49,1476,1217.2
1392724800,30.46,30.92,29.5,30.92,1123,1228.35
1392811200,30.99,32.46,30.99,32.46,2048,1293.8
1392897600,32.76,33.07,32.18,32.64,2764,1405.3
1392984000,32.69,33.1,32.25,32.3,1508,1458.65
1393243200,32.3,33.05,32.23,32.99,2110,1539.15
1393329600,32.99,33.4,32.4,32.77,2657,1659.7
1393416000,32.79,33.1,32.54,32.56,1515,1661.05
1393502400,32.5,32.5,31.43,31.53,3321,1738.95
1393588800,31.5,31.5,30.45,30.65,2610,1827.65
1394020800,30.74,31.87,30.74,31.75,1983,1880.95
1394107200,31.82,32.7,31.7,32.67,3104,1970.45
1394193600,32.73,33.1,32.41,32.45,2124,1964.5
1394452800,32.3,32.87,32.2,32.27,1700,1986.15
1394539200,32.22,32.73,32.11,32.4,1610,1952.75
1394625600,32.4,32.4,31.22,31.3,2991,2031.6
1394712000,31.21,31.22,30.08,30.32,3896,2164.2
1394798400,30.28,30.28,29.9,29.96,1764,2150.05
1395057600,29.94,29.94,29.94,29.94,0,2091.8
1395144000,29.94,30.44,29.94,30.44,0,2015.2
1395230400,30.53,30.53,30.24,30.24,0,1941.4
1395316800,30.24,30.67,30.24,30.67,0,1885.25
1395403200,30.67,30.67,30.35,30.35,0,1782.85
