time,open,high,low,close,Volume,Volume MA
1389610800,27,27.2,26.7,26.8,5157,2557.85
1390215600,26.75,26.75,25.85,26.19,3327,2219.65
1390820400,26.14,27.3,25.81,27.3,4833,1896.65
1391425200,27.28,29.71,27.15,28.72,8019,2160.45
1392030000,28.66,29.5,28.56,29.38,7402,2406.15
1392638400,29.3,33.1,29.3,32.3,8919,2697.95
1393243200,32.3,33.4,30.45,30.65,12213,3189.1
1394020800,30.74,33.1,30.74,32.45,7211,3277.55
1394452800,32.3,32.87,29.9,29.96,11961,3799.5
1395057600,29.94,30.67,29.94,30.35,0,3790.2
1395662400,30.35,30.58,29.69,29.82,0,3778.15
1396267200,29.3,31.8,29.3,31.8,150,3772.95
1396872000,32,32,30.99,31.5,30,3770.25
1397476800,31.5,31.7,31.3,31.58,62,3771.9
1398168000,31.53,31.53,30.75,30.84,65,3744.65
1398686400,30.7,30.83,30,30.47,102,3742.3
1399291200,30,30,29.55,29.6,94,3611.85
1399896000,29.35,29.35,28.1,28.11,102,3616.15
1400500800,28.11,28.11,27.26,27.35,0,3606.5
1401105600,27.35,27.49,27.04,27.04,0,3482.35
1401710400,26.76,26.9,26.4,26.46,0,3224.5
1402315200,26.46,26.46,25.26,25.26,0,3058.15
1402920000,24.97,25.18,24.53,25.18,0,2816.5
1403524800,25.32,25.32,24.54,24.61,0,2415.55
1404129600,24.61,24.61,23.71,23.71,0,2045.45
1404734400,23.71,23.98,23.65,23.72,0,1599.5
1405339200,23.72,23.79,22.95,23.04,9923,1485
1405944000,23.1,23.28,22.65,22.84,13602,1804.55
1406548800,23.15,24.65,22.9,24.26,17460,2079.5
1407153600,24.27,25,24.15,24.53,16725,2915.75
1407758400,24.55,24.55,23.31,24.26,14510,3641.25
1408363200,24.2,24.59,23.9,24.52,3965,3832
1408968000,24.58,24.75,23.95,23.99,5759,4118.45
1409572800,23.96,23.96,22.55,22.69,11515,4691.1
1410177600,22.7,23.45,22.31,23.33,14310,5403.35
1410782400,24.49,24.9,24.1,24.25,5653,5680.9
1411387200,24.16,24.5,23.8,24.25,6913,6021.85
1411992000,24.25,24.75,24.1,24.19,6129,6323.2
1412596800,24.18,25.4,23.98,25.13,6641,6655.25
1413201600,25.37,27.68,25,27.4,5734,6941.95
1413802800,27.3,29.45,27.23,28.72,5941,7239
1414407600,28.65,31.5,28.54,29.23,8528,7665.4
1415012400,29.2,30.35,28.4,30.24,8500,8090.4
1415617200,30.14,32.35,30.01,32,13174,8749.1
1416222000,32.28,32.96,32,32.01,1546,8826.4
1416826800,32,32,28.99,29.57,2702,8961.5
1417431600,29.51,29.79,28.58,29.55,3562,8643.45
1418036400,29.49,31.5,29.16,31.5,2726,8099.65
1418641200,31.5,32.45,30.38,30.96,3374,7395.35
1419246000,30.9,31.35,30.3,30.54,459,6582.05
1419850800,30.56,30.56,30.2,30.34,661,5889.6
1420455600,30.33,30.33,28.68,29.32,6269,6004.8
1421060400,29.35,31.49,28.36,28.92,14899,6461.8
1421665200,28.99,29.4,27.88,28,2287,6000.4
1422270000,27.91,28.55,27.11,28.4,2914,5430.6
1422874800,28.3,29.7,28.1,29.26,2179,5256.9
1423479600,29.2,29.3,28.6,28.63,1944,5008.45
1424257200,28.85,29.37,28.85,29.33,884,4746.2
1424692800,29.32,29.65,29.06,29.25,2520,4540.15
1425297600,29.25,29.55,28.7,28.94,4914,4499.15
1425902400,28.87,29.9,28.81,29.65,6515,4527.85
1426507200,30.58,30.58,29.63,29.92,0,4101.45
1427112000,29.92,29.92,29.08,29.26,20,3677.45
1427716800,29.26,29.5,29.2,29.22,0,3018.75
1428321600,29.22,29.24,28.04,28.04,0,2941.45
1428926400,28.04,28.04,27.25,27.68,0,2806.35
1429531200,27.68,27.68,26.84,26.85,0,2628.25
1430136000,26.85,26.85,26.14,26.18,0,2491.95
1430740800,26.18,26.26,26.15,26.16,0,2323.25
1431345600,26.16,26.16,25,25.06,3033,2451.95
1431950400,25,26.29,25,26.18,13514,3094.6
1432555200,26.2,26.45,24.88,25.3,12157,3389
1433160000,25.25,25.89,24.91,25.56,6664,2977.25
1433764800,25.46,25.75,24.91,25.06,9574,3341.6
1434369600,25.05,25.68,24.82,25.38,9401,3665.95
1434974400,25.38,27.54,25.24,27.45,15963,4355.15
1435579200,27.44,28.6,26.81,28.45,15020,5008.95
1436184000,28.46,28.6,26.69,28.48,14198,5674.65
1436788800,28.55,29.3,27.81,28.6,5898,5843.55
1437393600,28.69,28.84,27.7,28.36,1707,5683.2
1437998400,28.35,28.48,27.68,28.31,1658,5440.35
1438603200,28.39,31.25,28.29,30.95,2880,5584.35
1439208000,30.8,31.49,29.3,29.99,2930,5729.85
1439812800,29.95,30.8,29.5,30.73,2150,5837.35
1440417600,30.83,31.95,30.31,31.79,3248,5999.75
1441022400,31.87,34,31.8,33.51,5554,6277.45
1441713600,33.5,35,33,34.95,6682,6611.55
1442232000,34.95,37.24,34.9,37.07,4255,6824.3
1442836800,37.1,38.8,36.89,37.16,3823,7015.45
1443441600,37.16,38.1,36.66,36.73,2134,6970.5
1444046400,36.55,36.65,35.3,35.36,2461,6417.85
1444737600,35.3,36.05,35.01,35.48,1162,5868.1
1445252400,35.84,37.05,35.3,36.33,1726,5621.2
1445857200,36.28,37.5,36.2,37.45,1291,5207.05
1446462000,37.45,37.5,35.82,36.18,4733,4973.65
1447066800,36.1,36.7,35.2,35.95,4144,4382.7
1447671600,36.8,36.8,35.5,35.5,265,3644.95
1448276400,35.5,36,35.5,35.65,270,2948.55
1448881200,35.9,37.1,35.9,36.9,947,2701
1449486000,36.78,37.29,36.2,37.19,1488,2690.05
