time,open,high,low,close,Volume,Volume MA
1532433600,41.14,41.3,41,41.25,89,972.75
1532520000,41.25,41.79,41.25,41.69,148,924.85
1532606400,41.7,42.25,41.7,42.09,538,844.25
1532692800,42.05,42.55,41.95,42.45,180,791.15
1532952000,42.59,43,42.4,43,386,735
1533038400,42.95,43.2,42.73,42.94,304,679.2
1533124800,42.92,43.2,42.68,42.93,337,665.05
1533211200,43,43.12,42.8,42.9,220,640.25
1533297600,43,43,42.65,42.93,274,627.3
1533556800,42.91,43.45,42.91,43.23,832,582.55
1533643200,43.2,43.84,43.2,43.72,536,492.15
1533729600,43.7,44.1,43.45,43.52,859,493.65
1533816000,43.57,43.71,43.17,43.3,396,422.4
1533902400,43.5,43.55,42.72,42.87,523,335.7
1534161600,42.84,43.01,42.4,42.71,686,361.85
1534248000,42.7,43.05,42.35,42.84,350,372.95
1534334400,42.9,43.47,42.9,43.13,211,369.5
1534420800,43.25,43.45,43.05,43.2,102,359.65
1534507200,43.49,43.7,43.41,43.45,478,379.75
1534766400,43.46,43.7,43.17,43.51,180,381.45
1534852800,43.51,43.8,43.51,43.65,294,391.7
1534939200,43.85,44.25,43.7,43.91,242,396.4
1535025600,43.73,43.9,43.59,43.59,505,394.75
1535112000,43.57,43.8,43.13,43.62,305,401
1535371200,43.4,43.51,42.98,42.98,857,424.55
1535457600,43.01,43.07,42.56,42.8,442,431.45
1535544000,42.75,42.87,42.57,42.6,727,450.95
1535630400,42.67,43,42.45,42.57,980,488.95
1535716800,42.55,42.75,42.28,42.75,681,509.3
1535976000,43.19,43.4,42.84,43.4,366,486
1536062400,43.55,43.72,43.4,43.5,629,490.65
1536148800,43.49,43.49,42.51,42.69,1632,529.3
1536235200,42.79,42.8,42.08,42.17,1133,566.15
1536580800,42,42,41.41,41.7,1952,637.6
1536667200,41.7,42.15,41.57,41.69,932,649.9
1536753600,41.56,41.74,40.9,40.98,2309,747.85
1536840000,40.91,41.2,40.74,41.2,1024,788.5
