time,open,high,low,close,Volume,Volume MA
1254398400,22.55,22.55,21.4,21.6,5826,NaN
1257246000,21.5,21.5,19.2,19.47,8179,NaN
1259665200,19.5,19.9,19.1,19.23,5433,NaN
1262602800,19.33,19.6,18,18.35,11472,NaN
1265022000,18.35,18.9,17.7,18.66,9427,NaN
1267444800,18.62,18.9,18.2,18.5,3835,NaN
1270123200,18.5,19.2,18.5,19.2,1,NaN
1272888000,19.2,20.33,18.92,20.33,21,NaN
1275393600,20.36,20.47,18.78,18.87,0,NaN
1277985600,18.99,20.19,18.79,20.13,2606,NaN
1280750400,20.3,24.8,20.12,24.13,12874,NaN
1283342400,24.2,28.4,24.2,25.45,14580,NaN
1285934400,25.3,28.71,24.2,27.32,6855,NaN
1288609200,27.35,28.95,24.2,24.9,5800,NaN
1291201200,25,26.15,24.8,25.95,1978,NaN
1294052400,25.9,27.75,25.7,26.25,10412,NaN
1296558000,26.2,27.69,26,27.55,11514,NaN
1298980800,27.55,29.45,27.55,28.75,6454,NaN
1301659200,29.32,30.35,27.3,29.58,0,NaN
1304337600,30.1,30.1,27.3,29.49,0,5863.35
1306929600,28.41,30.5,27.7,29.09,0,5572.05
1309521600,28.95,29.38,27.87,29,14857,5905.95
1312200000,29,32.25,28.91,32.05,19717,6620.15
1314878400,32.06,33,30.36,30.76,13440,6718.55
1317643200,30.85,31.95,30.26,31.55,4811,6487.75
1320145200,31.51,31.9,23.7,24.64,1517,6371.85
1322737200,24.64,27.95,24.46,27.73,6655,6704.55
1325502000,27.9,28.98,25.3,25.36,12916,7349.3
1328094000,25.4,26.6,25.06,26.35,9352,7816.9
1330603200,26.37,27.46,25.8,26.4,7681,8070.65
1333368000,26.56,27,24.39,24.63,10,7427.45
1335960000,24.39,26,23.25,23.56,21609,7778.9
1338552000,23.65,24.8,22.81,24.57,51402,10006.25
1341230400,24.52,36.34,24.5,35.46,43199,11876.2
1343822400,35.3,35.7,32.4,33.79,11934,12374
1346673600,33.76,34.19,29.65,31.18,14905,12598.65
1349092800,31.75,34.12,30.6,34.05,8727,12459.3
1351767600,34,34.75,32,34.24,14406,12856.9
1354532400,34.22,34.65,30.7,30.77,8930,13303.4
1357124400,30.79,31.98,28.41,28.8,13006,13953.7
1359716400,28.8,29.4,27.2,28.47,13166,14612
1362139200,28.47,28.47,25.45,25.9,12465,14492.4
1364817600,25.49,25.9,24.12,25,452,13529.15
1367496000,25.3,26.25,23.82,26.12,30043,14359.3
