time,price
2013-12,30
2014-01,32
2014-02,36
2014-03,38
2014-04,40
2014-05,40
2014-06,46
2014-07,45
2014-08,52
2014-09,45
2014-10,37
2014-11,43
2014-12,32
2015-01,33
2015-02,37
2015-03,42
2015-04,34
2015-05,46
2015-06,60
2015-07,52
2015-08,49
2015-09,47
2015-10,48
2015-11,39
2015-12,30
2016-01,51
2016-02,45
2016-03,52
2016-04,60
2016-05,73
2016-06,96
2016-07,82
2016-08,65
2016-09,47
2016-10,39
2016-11,45
2016-12,38
2017-01,43
2017-02,59
2017-03,58
2017-04,64
2017-05,78
2017-06,72
2017-07,77
2017-08,63
2017-09,66
2017-10,54
2017-11,50
2017-12,40
2018-01,54
2018-02,43
2018-03,85
2018-04,78
2018-05,76
2018-06,83
2018-07,74
2018-08,80
2018-09,66
2018-10,50
2018-11,50
2018-12,46
2019-01,58
2019-02,56
2019-03,61
2019-04,79
2019-05,84
2019-06,100
2019-07,87
2019-08,76
2019-09,69
2019-10,65
